Type,Pattern Name,Start Marker EN,End Marker EN,Start Marker ID,End Marker ID,Pattern EN,Pattern ID
Supply,Logo Placement,FIRST PARTY responsibilities to place ,LPJ internal FIRST PARTY,PIHAK PERTAMA berkewajiban untuk mencantumkan ,LPJ internal PIHAK PERTAMA,logo,logo
Supply,Information Sharing,FIRST PARTY responsibilities to inform all things ,the partnership with SECOND PARTY,PIHAK PERTAMA berkewajiban untuk menginformasikan segala hal ,sama dengan PIHAK KEDUA,related,mengenai
Supply,Pre-Event Article,FIRST PARTY responsibilities to include ,article,PIHAK PERTAMA berkewajiban untuk mencantumkan PIHAK KEDUA ,artikel,pre,pre
Supply,Selling Space,FIRST PARTY responsibilities to conduct ,held for 2 – 3 minutes,PIHAK PERTAMA berkewajiban untuk mengadakan ,selama 2 - 3 Menit,selling space,selling space
Supply,Certificate and Newsletter,FIRST PARTY responsibilities to give an ,to SECOND PARTY,PIHAK PERTAMA berkewajiban untuk memberikan ,kepada PIHAK KEDUA,certificate,sertifikat
Supply,Session Stakeholder,FIRST PARTY will conduct a ,20 September 2024,PIHAK PERTAMA akan melaksanakan ,20th of September 2024,session,sesi
Supply,Stakeholder Exposure,FIRST PARTY will follow up regarding the information needed (e.g. photos) and ,Get Rich Project,PIHAK PERTAMA akan menindaklanjuti mengenai informasi yang dibutuhkan (misalnya foto) dan ,Get Rich Project,information,informasi
Supply,Data Acquiring,FIRST PARTY will acquire data related ,investation data,PIHAK PERTAMA akan memberikan data terkait ,investasi peserta,data,data
Supply,Regulation Compliance,Normal Cancellation ,is approved,Pembatalan secara normal ,ini disetujui,cancellation,pembatalan
Supply,Research Survey,FIRST PARTY responsibilities to fulfill SECOND PARTY Research Survey ,SECOND PARTY responsibilities,PIHAK PERTAMA bertanggung jawab untuk melaksanakan survei riset PIHAK KEDUA ,TANGGUNG JAWAB PIHAK KEDUA,fulfill SECOND PARTY Research Survey,melaksanakan survei riset PIHAK KEDUA
Supply,Ad-Libs,FIRST PARTY responsibilities to conduct ,held for 2 – 3 minutes,PIHAK PERTAMA berkewajiban untuk mengadakan ,selama 2 - 3 Menit,Ad-Libs,Ad-Libs
Supply,Company Video Promotion,FIRST PARTY responsibilities to play Company Video Promotion ,SECOND PARTY responsibilities,PIHAK PERTAMA bertanggung jawab untuk memutar Video Promosi Perusahaan PIHAK KEDUA ,TANGGUNG JAWAB PIHAK KEDUA,play Company Video Promotion,memutar Video Promosi Perusahaan
Supply,Instagram Story Post,FIRST PARTY responsibilities to post 1 \(one\) Story for SECOND PARTY with 20,000\+ Account Follower on Instagram ,SECOND PARTY responsibilities,PIHAK PERTAMA bertanggung jawab untuk memposting 1 \(satu\) Cerita untuk PIHAK KEDUA dengan 20.000\+ Pengikut di Instagram ,TANGGUNG JAWAB PIHAK KEDUA,post 1 \(one\) Story for SECOND PARTY with 20,000\+ Account Follower on Instagram,memposting 1 \(satu\) Cerita untuk PIHAK KEDUA dengan 20.000\+ Pengikut di Instagram
Demand,Financial Help,SECOND PARTY responsibilities to provide ,predetermined deadline,PIHAK KEDUA berkewajiban untuk memberikan ,waktu yang telah ditentukan,fund,dana
Demand,Financial Partner Statement,SECOND PARTY entitled to use ,a financial partner,PIHAK KEDUA berhak menggunakan nama ,financial partner,financial,financial
Demand,Cooperation Tracking,SECOND PARTY responsibilities to Inform ,cooperation with FIRST PARTY,PIHAK KEDUA berkewajiban untuk memberitahu ,kerja sama dengan PIHAK PERTAMA,development,perkembangan
Demand,Speakers Dealing,SECOND PARTY is obligated to become ,Get Rich Project,PIHAK KEDUA berkewajiban untuk menjadi ,Get Rich Project,Speaker,pembicara
Demand,Session Agreement,SECOND PARTY will allow ,both parties,PIHAK KEDUA akan memperkenankan ,kedua belah pihak,event,acaranya
Demand,Satisfaction Survey Form Filling,SECOND PARTY voluntarily help ,before and after the event running,PIHAK KEDUA dengan sukarela membantu ,sebelum dan sesudah acara berlangsung,satisfaction,satisfaction
Demand,Post Speaker Survey Form Filling,SECOND PARTY is obligated to fill the ,before and after the event running,PIHAK KEDUA berkewajiban mengisi Survey ,sebelum dan sesudah acara berlangsung,satisfaction,satisfaction
Demand,Regulation Compliance,Normal Cancellation ,is approved,Pembatalan secara normal ,ini disetujui,cancellation,pembatalan
